Config,Organization,RAM,CPU,Source IP,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,137.74.196.111,1.037,0
bank_high_high,bank,high,high,147.185.132.180,1.666,0
bank_high_high,bank,high,high,195.178.110.6,9.205,0
bank_high_high,bank,high,high,8.222.174.62,2.611,0
bank_high_high,bank,high,high,206.189.26.130,1.469,1
bank_high_high,bank,high,high,206.189.26.130,1.512,1
bank_high_high,bank,high,high,87.236.176.91,0.261,0
bank_high_high,bank,high,high,206.189.26.130,1.524,1
bank_high_high,bank,high,high,92.255.85.107,1.885,0
bank_high_high,bank,high,high,85.192.56.68,2.003,0
bank_high_high,bank,high,high,206.189.26.130,1.415,1
bank_high_high,bank,high,high,124.153.144.195,2.575,0
bank_high_high,bank,high,high,206.189.26.130,1.777,1
bank_high_high,bank,high,high,205.210.31.234,1.847,0
bank_high_high,bank,high,high,178.128.161.219,1.387,1
bank_high_high,bank,high,high,85.192.56.68,2.022,0
bank_high_high,bank,high,high,37.139.145.57,1.284,0
bank_high_high,bank,high,high,80.64.30.138,2.241,0
bank_high_high,bank,high,high,103.127.196.172,3.821,1
bank_high_high,bank,high,high,103.127.196.172,3.443,1
bank_high_high,bank,high,high,103.127.196.172,4.559,1
bank_high_high,bank,high,high,103.127.196.172,3.689,1
bank_high_high,bank,high,high,92.255.85.107,1.94,0
bank_high_high,bank,high,high,172.245.180.234,0.866,0
bank_high_high,bank,high,high,206.189.26.130,1.416,1
bank_high_high,bank,high,high,206.189.26.130,1.427,1
bank_high_high,bank,high,high,206.189.26.130,1.449,1
bank_high_high,bank,high,high,206.189.26.130,1.508,1
bank_high_high,bank,high,high,206.189.26.130,1.566,1
bank_high_high,bank,high,high,45.148.10.117,1.085,0
bank_high_high,bank,high,high,45.148.10.117,1.471,1
bank_high_high,bank,high,high,45.148.10.117,1.446,1
bank_high_high,bank,high,high,45.148.10.117,1.415,1
bank_high_high,bank,high,high,45.148.10.117,1.426,1
bank_high_high,bank,high,high,45.148.10.117,1.239,0
bank_high_high,bank,high,high,45.148.10.117,1.001,0
bank_high_high,bank,high,high,92.255.85.107,2.624,0
bank_high_high,bank,high,high,103.232.55.36,2.819,0
bank_high_high,bank,high,high,147.185.132.46,1.602,0
bank_high_high,bank,high,high,206.189.26.130,1.395,1
bank_high_high,bank,high,high,206.189.26.130,1.462,1
bank_high_high,bank,high,high,206.189.26.130,1.52,1
bank_high_high,bank,high,high,206.189.26.130,1.536,1
bank_high_high,bank,high,high,206.189.26.130,1.477,1
bank_high_high,bank,high,high,206.189.26.130,1.432,1
bank_high_high,bank,high,high,206.189.26.130,1.572,1
bank_high_high,bank,high,high,206.189.26.130,2.052,1
bank_high_high,bank,high,high,206.189.26.130,1.557,1
bank_high_high,bank,high,high,206.189.26.130,2.026,1
bank_high_high,bank,high,high,206.189.26.130,1.496,1
bank_high_high,bank,high,high,92.255.85.107,3.359,0
bank_high_high,bank,high,high,85.192.56.68,2.311,0
bank_high_high,bank,high,high,206.189.26.130,1.532,1
bank_high_high,bank,high,high,206.189.26.130,1.513,1
bank_high_high,bank,high,high,206.189.26.130,1.63,1
bank_high_high,bank,high,high,170.64.205.91,3.295,1
bank_high_high,bank,high,high,170.64.205.91,2.362,0
bank_high_high,bank,high,high,170.64.205.91,2.382,0
bank_high_high,bank,high,high,170.64.213.15,3.038,1
bank_high_high,bank,high,high,170.64.213.15,2.492,0
bank_high_high,bank,high,high,206.189.26.130,1.558,1
bank_high_high,bank,high,high,206.189.26.130,1.489,1
bank_high_high,bank,high,high,206.189.26.130,1.485,1
bank_high_high,bank,high,high,195.178.110.112,1.581,1
bank_high_high,bank,high,high,206.189.26.130,1.577,1
bank_high_high,bank,high,high,206.189.26.130,1.452,1
bank_high_high,bank,high,high,206.189.26.130,2.133,1
bank_high_high,bank,high,high,206.189.26.130,1.512,1
bank_high_high,bank,high,high,206.189.26.130,1.803,1
bank_high_high,bank,high,high,206.189.26.130,1.393,1
bank_high_high,bank,high,high,206.189.26.130,1.525,1
bank_high_high,bank,high,high,206.189.26.130,1.535,1
bank_high_high,bank,high,high,206.189.26.130,2.079,1
bank_high_high,bank,high,high,206.189.26.130,1.519,1
bank_high_high,bank,high,high,64.62.197.78,3.999,0
bank_high_high,bank,high,high,8.222.172.249,2.777,0
bank_high_high,bank,high,high,141.98.10.82,10.91,1
bank_high_high,bank,high,high,141.98.10.82,12.415,1
bank_high_high,bank,high,high,141.98.10.82,13.695,1
bank_high_high,bank,high,high,141.98.10.82,12.194,1
bank_high_high,bank,high,high,141.98.10.82,12.295,1
bank_high_high,bank,high,high,141.98.10.82,14.324,1
bank_high_high,bank,high,high,141.98.10.82,14.378,1
bank_high_high,bank,high,high,141.98.10.82,20.545,1
bank_high_high,bank,high,high,118.24.125.87,3.295,0
bank_high_high,bank,high,high,141.98.10.82,10.827,1
bank_high_high,bank,high,high,141.98.10.82,17.819,1
bank_high_high,bank,high,high,45.6.188.43,0.956,0
bank_high_high,bank,high,high,45.148.10.117,1.401,1
bank_high_high,bank,high,high,195.178.110.6,16.511,0
bank_high_high,bank,high,high,195.178.110.6,10.609,0
bank_high_high,bank,high,high,92.255.85.107,1.633,0
bank_high_high,bank,high,high,195.178.110.6,26.498,1
bank_high_high,bank,high,high,60.213.28.166,2.048,0
bank_high_high,bank,high,high,195.178.110.6,1.006,0
bank_high_high,bank,high,high,195.178.110.6,1.127,0
bank_high_high,bank,high,high,195.178.110.6,3.709,0
bank_high_high,bank,high,high,195.178.110.6,18.308,1
bank_high_high,bank,high,high,195.178.110.6,15.902,1
bank_high_high,bank,high,high,195.178.110.6,14.422,1
bank_high_high,bank,high,high,195.178.110.6,10.013,1
bank_high_high,bank,high,high,195.178.110.6,16.202,1
bank_high_high,bank,high,high,195.178.110.6,13.981,1
bank_high_high,bank,high,high,195.178.110.6,13.999,1
bank_high_high,bank,high,high,195.178.110.6,16.788,1
bank_high_high,bank,high,high,198.235.24.166,2.033,0
bank_high_high,bank,high,high,185.242.226.20,9.994,0
bank_high_high,bank,high,high,45.148.10.117,1.475,1
bank_high_high,bank,high,high,45.148.10.117,1.449,1
bank_high_high,bank,high,high,113.31.119.74,2.169,0
bank_high_high,bank,high,high,45.148.10.117,1.01,0
bank_high_high,bank,high,high,167.94.145.107,15.575,0
bank_high_high,bank,high,high,170.64.166.211,2.015,0
bank_high_high,bank,high,high,170.64.166.211,2.679,1
bank_high_high,bank,high,high,170.64.166.211,3.098,1
bank_high_high,bank,high,high,202.95.12.147,32.686,0
bank_high_high,bank,high,high,47.236.252.254,5.989,0
bank_high_high,bank,high,high,47.236.102.50,2.1,0
bank_high_high,bank,high,high,92.255.85.107,1.73,0
bank_high_high,bank,high,high,116.162.216.236,105.352,0
bank_high_high,bank,high,high,92.255.85.107,2.045,0
bank_high_high,bank,high,high,47.236.252.254,2.129,0
bank_high_high,bank,high,high,92.255.85.107,1.52,0
bank_high_high,bank,high,high,104.131.55.47,0.812,1
bank_high_high,bank,high,high,104.131.55.47,0.952,1
bank_high_high,bank,high,high,104.131.55.47,0.779,1
bank_high_high,bank,high,high,85.192.56.68,2.094,0
bank_high_high,bank,high,high,104.131.55.47,0.652,1
bank_high_high,bank,high,high,170.64.164.67,2.985,1
bank_high_high,bank,high,high,147.185.132.63,1.958,0
bank_high_high,bank,high,high,167.71.130.224,0.983,0
bank_high_high,bank,high,high,104.131.57.154,0.806,1
bank_high_high,bank,high,high,104.131.57.154,0.817,1
bank_high_high,bank,high,high,167.71.130.224,0.964,0
bank_high_high,bank,high,high,167.71.130.224,0.914,0
bank_high_high,bank,high,high,167.71.130.224,0.972,0
bank_high_high,bank,high,high,104.131.57.154,0.886,1
bank_high_high,bank,high,high,104.131.57.154,0.755,1
bank_high_high,bank,high,high,92.255.85.107,1.574,0
bank_high_high,bank,high,high,103.156.90.66,59.524,0
bank_high_high,bank,high,high,194.169.175.38,2.942,0
bank_high_high,bank,high,high,92.255.85.253,1.794,0
bank_high_high,bank,high,high,92.255.85.253,1.832,0
bank_high_high,bank,high,high,103.156.90.66,276.414,0
bank_high_high,bank,high,high,45.148.10.117,1.433,1
bank_high_high,bank,high,high,45.148.10.117,1.458,1
bank_high_high,bank,high,high,45.148.10.117,1.549,1
bank_high_high,bank,high,high,45.148.10.117,1.413,1
bank_high_high,bank,high,high,199.245.101.50,3.864,0
bank_high_high,bank,high,high,143.110.172.3,1.457,1
bank_high_high,bank,high,high,116.110.117.203,143.194,0
bank_high_high,bank,high,high,116.110.117.203,79.695,0
bank_high_high,bank,high,high,116.110.117.203,74.559,0
bank_high_high,bank,high,high,116.110.117.203,33.28,0
bank_high_high,bank,high,high,116.110.117.203,137.573,0
bank_high_high,bank,high,high,116.110.116.189,27.558,0
bank_high_high,bank,high,high,116.110.116.189,92.264,0
bank_high_high,bank,high,high,116.110.116.189,6.352,0
bank_high_high,bank,high,high,116.110.116.189,5.184,0
bank_high_high,bank,high,high,116.110.116.189,2.725,0
bank_high_high,bank,high,high,170.64.237.144,2.358,0
bank_high_high,bank,high,high,170.64.237.144,3.424,1
bank_high_high,bank,high,high,170.64.237.144,2.965,1
bank_high_high,bank,high,high,170.64.237.144,2.057,0
bank_high_high,bank,high,high,170.64.237.144,3.197,1
bank_high_high,bank,high,high,170.64.237.144,3.336,1
bank_high_high,bank,high,high,92.255.85.107,3.6,0
bank_high_high,bank,high,high,46.19.143.66,1.283,0
bank_high_high,bank,high,high,46.19.143.66,1.289,0
bank_high_high,bank,high,high,85.192.56.68,2.052,0
bank_high_high,bank,high,high,167.94.145.102,15.153,0
bank_high_high,bank,high,high,144.126.222.68,1.775,0
bank_high_high,bank,high,high,92.255.85.107,2.178,0
bank_high_high,bank,high,high,195.178.110.113,1.913,1
bank_high_high,bank,high,high,195.178.110.113,1.472,1
bank_high_high,bank,high,high,195.178.110.113,1.677,1
bank_high_high,bank,high,high,195.178.110.113,1.451,1
bank_high_high,bank,high,high,141.98.10.82,1.307,0
bank_high_high,bank,high,high,178.128.229.153,0.269,0
bank_high_high,bank,high,high,161.35.35.105,1.415,1
bank_high_high,bank,high,high,45.66.41.28,1.89,2
bank_high_high,bank,high,high,178.128.229.153,0.5,0
bank_high_high,bank,high,high,178.128.229.153,0.282,0
bank_high_high,bank,high,high,173.34.0.134,8.191,0
bank_high_high,bank,high,high,103.133.105.36,2.799,0
bank_high_high,bank,high,high,218.92.0.207,7.787,0
bank_high_high,bank,high,high,85.192.56.68,5.041,0
bank_high_high,bank,high,high,218.92.0.201,7.869,0
bank_high_high,bank,high,high,144.126.229.46,0.782,0
bank_high_high,bank,high,high,218.92.0.201,7.995,0
bank_high_high,bank,high,high,218.92.0.206,8.047,0
bank_high_high,bank,high,high,218.92.0.211,7.884,0
bank_high_high,bank,high,high,218.92.0.207,8.105,0
bank_high_high,bank,high,high,103.133.105.36,2.909,0
bank_high_high,bank,high,high,218.92.0.205,8.338,0
bank_high_high,bank,high,high,92.255.85.253,2.044,0
bank_high_high,bank,high,high,218.92.0.208,8.833,0
bank_high_high,bank,high,high,92.255.85.107,1.935,0
bank_high_high,bank,high,high,167.172.205.191,1.774,0
bank_high_high,bank,high,high,8.221.139.48,1.515,0
bank_high_high,bank,high,high,85.192.56.68,3.027,0
bank_high_high,bank,high,high,103.156.90.66,201.427,0
bank_high_high,bank,high,high,103.133.105.36,13.073,0
bank_high_high,bank,high,high,116.110.68.62,3.31,0
bank_high_high,bank,high,high,103.133.105.36,14.546,0
bank_high_high,bank,high,high,92.255.85.107,1.833,0
bank_high_high,bank,high,high,92.255.85.107,2.045,0
bank_high_high,bank,high,high,79.137.202.88,1.95,0
bank_high_high,bank,high,high,194.169.175.38,11.905,0
bank_high_high,bank,high,high,205.210.31.106,2.177,0
bank_high_high,bank,high,high,85.192.56.68,2.345,0
bank_high_high,bank,high,high,92.255.85.107,1.834,0
bank_high_high,bank,high,high,45.249.246.196,0.846,0
bank_high_high,bank,high,high,205.210.31.181,1.902,0
bank_high_high,bank,high,high,46.19.143.66,1.359,0
bank_high_high,bank,high,high,132.226.194.201,1.051,0
bank_high_high,bank,high,high,125.94.108.112,4.547,0
bank_high_high,bank,high,high,170.64.163.56,3.123,1
bank_high_high,bank,high,high,170.64.163.56,2.334,0
bank_high_high,bank,high,high,85.192.56.68,2.245,0
bank_high_high,bank,high,high,134.209.239.102,10.828,1
bank_high_high,bank,high,high,222.102.21.102,3.821,0
bank_high_high,bank,high,high,194.169.175.38,3.387,0
bank_high_high,bank,high,high,85.192.56.68,2.135,0
bank_high_high,bank,high,high,64.62.156.66,3.995,0
bank_high_high,bank,high,high,134.209.239.102,1.276,1
bank_high_high,bank,high,high,195.178.110.112,1.706,1
bank_high_high,bank,high,high,103.133.105.36,13.109,0
bank_high_high,bank,high,high,103.133.105.36,103.672,0
bank_high_high,bank,high,high,46.19.143.66,1.312,0
bank_high_high,bank,high,high,134.209.239.102,2.073,1
bank_high_high,bank,high,high,134.209.239.102,1.899,1
bank_high_high,bank,high,high,85.192.56.68,2.692,0
bank_high_high,bank,high,high,164.90.215.117,1.641,1
bank_high_high,bank,high,high,164.90.215.117,1.617,1
bank_high_high,bank,high,high,164.90.215.117,1.613,1
bank_high_high,bank,high,high,164.90.215.117,1.381,1
