Config,Organization,RAM,CPU,Scrubbed IPs,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.037,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.666,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,9.205,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.611,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.469,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.512,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.261,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.524,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.885,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.003,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.415,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.575,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.777,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.847,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.387,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.022,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.284,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.241,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.821,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.443,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,4.559,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.689,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.94,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.866,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.416,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.427,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.449,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.508,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.566,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.085,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.471,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.446,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.415,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.426,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.239,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.001,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.624,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.819,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.602,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.395,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.462,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.52,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.536,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.477,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.432,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.572,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.052,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.557,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.026,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.496,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.359,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.311,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.532,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.513,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.63,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.295,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.362,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.382,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.038,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.492,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.558,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.489,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.485,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.581,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.577,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.452,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.133,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.512,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.803,1
