Config,Organization,RAM,CPU,Source IP,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,137.74.196.111,1.037,0
bank_high_high,bank,high,high,147.185.132.180,1.666,0
bank_high_high,bank,high,high,195.178.110.6,9.205,0
bank_high_high,bank,high,high,8.222.174.62,2.611,0
bank_high_high,bank,high,high,206.189.26.130,1.469,1
bank_high_high,bank,high,high,87.236.176.91,0.261,0
bank_high_high,bank,high,high,92.255.85.107,1.885,0
bank_high_high,bank,high,high,85.192.56.68,2.003,0
bank_high_high,bank,high,high,124.153.144.195,2.575,0
bank_high_high,bank,high,high,205.210.31.234,1.847,0
bank_high_high,bank,high,high,178.128.161.219,1.387,1
bank_high_high,bank,high,high,37.139.145.57,1.284,0
bank_high_high,bank,high,high,80.64.30.138,2.241,0
bank_high_high,bank,high,high,103.127.196.172,3.821,1
bank_high_high,bank,high,high,172.245.180.234,0.866,0
bank_high_high,bank,high,high,45.148.10.117,1.085,0
bank_high_high,bank,high,high,103.232.55.36,2.819,0
bank_high_high,bank,high,high,147.185.132.46,1.602,0
bank_high_high,bank,high,high,170.64.205.91,3.295,1
bank_high_high,bank,high,high,170.64.213.15,3.038,1
bank_high_high,bank,high,high,195.178.110.112,1.581,1
bank_high_high,bank,high,high,64.62.197.78,3.999,0
bank_high_high,bank,high,high,8.222.172.249,2.777,0
bank_high_high,bank,high,high,141.98.10.82,10.91,1
bank_high_high,bank,high,high,118.24.125.87,3.295,0
bank_high_high,bank,high,high,45.6.188.43,0.956,0
bank_high_high,bank,high,high,60.213.28.166,2.048,0
bank_high_high,bank,high,high,198.235.24.166,2.033,0
bank_high_high,bank,high,high,185.242.226.20,9.994,0
bank_high_high,bank,high,high,113.31.119.74,2.169,0
bank_high_high,bank,high,high,167.94.145.107,15.575,0
bank_high_high,bank,high,high,170.64.166.211,2.015,0
bank_high_high,bank,high,high,202.95.12.147,32.686,0
bank_high_high,bank,high,high,47.236.252.254,5.989,0
bank_high_high,bank,high,high,47.236.102.50,2.1,0
bank_high_high,bank,high,high,116.162.216.236,105.352,0
bank_high_high,bank,high,high,104.131.55.47,0.812,1
bank_high_high,bank,high,high,170.64.164.67,2.985,1
bank_high_high,bank,high,high,147.185.132.63,1.958,0
bank_high_high,bank,high,high,167.71.130.224,0.983,0
bank_high_high,bank,high,high,104.131.57.154,0.806,1
bank_high_high,bank,high,high,103.156.90.66,59.524,0
bank_high_high,bank,high,high,194.169.175.38,2.942,0
bank_high_high,bank,high,high,92.255.85.253,1.794,0
bank_high_high,bank,high,high,199.245.101.50,3.864,0
bank_high_high,bank,high,high,143.110.172.3,1.457,1
bank_high_high,bank,high,high,116.110.117.203,143.194,0
bank_high_high,bank,high,high,116.110.116.189,27.558,0
bank_high_high,bank,high,high,170.64.237.144,2.358,0
bank_high_high,bank,high,high,46.19.143.66,1.283,0
bank_high_high,bank,high,high,167.94.145.102,15.153,0
bank_high_high,bank,high,high,144.126.222.68,1.775,0
bank_high_high,bank,high,high,195.178.110.113,1.913,1
bank_high_high,bank,high,high,178.128.229.153,0.269,0
bank_high_high,bank,high,high,161.35.35.105,1.415,1
bank_high_high,bank,high,high,45.66.41.28,1.89,2
bank_high_high,bank,high,high,173.34.0.134,8.191,0
bank_high_high,bank,high,high,103.133.105.36,2.799,0
bank_high_high,bank,high,high,218.92.0.207,7.787,0
bank_high_high,bank,high,high,218.92.0.201,7.869,0
bank_high_high,bank,high,high,144.126.229.46,0.782,0
bank_high_high,bank,high,high,218.92.0.206,8.047,0
bank_high_high,bank,high,high,218.92.0.211,7.884,0
bank_high_high,bank,high,high,218.92.0.205,8.338,0
bank_high_high,bank,high,high,218.92.0.208,8.833,0
bank_high_high,bank,high,high,167.172.205.191,1.774,0
bank_high_high,bank,high,high,8.221.139.48,1.515,0
bank_high_high,bank,high,high,116.110.68.62,3.31,0
bank_high_high,bank,high,high,79.137.202.88,1.95,0
bank_high_high,bank,high,high,205.210.31.106,2.177,0
bank_high_high,bank,high,high,45.249.246.196,0.846,0
bank_high_high,bank,high,high,205.210.31.181,1.902,0
bank_high_high,bank,high,high,132.226.194.201,1.051,0
bank_high_high,bank,high,high,125.94.108.112,4.547,0
bank_high_high,bank,high,high,170.64.163.56,3.123,1
bank_high_high,bank,high,high,134.209.239.102,10.828,1
bank_high_high,bank,high,high,222.102.21.102,3.821,0
bank_high_high,bank,high,high,64.62.156.66,3.995,0
bank_high_high,bank,high,high,164.90.215.117,1.641,1
bank_high_high,bank,high,high,45.148.10.119,1.416,1
bank_high_high,bank,high,high,79.110.62.21,10.007,0
bank_high_high,bank,high,high,101.126.144.184,2.854,0
bank_high_high,bank,high,high,170.64.239.73,3.053,1
bank_high_high,bank,high,high,146.190.57.200,1.484,3
bank_high_high,bank,high,high,209.97.174.245,2.034,0
bank_high_high,bank,high,high,109.120.156.140,1.13,0
bank_high_high,bank,high,high,64.225.98.83,1.29,3
bank_high_high,bank,high,high,59.11.27.79,3.833,0
bank_high_high,bank,high,high,157.173.115.218,1.007,0
bank_high_high,bank,high,high,115.127.158.91,2.555,0
bank_high_high,bank,high,high,154.212.141.144,14.998,0
bank_high_high,bank,high,high,139.59.120.249,2.037,0
bank_high_high,bank,high,high,139.59.31.108,4.996,3
bank_high_high,bank,high,high,182.253.191.50,2.098,0
bank_high_high,bank,high,high,14.29.198.130,3.671,0
bank_high_high,bank,high,high,185.248.144.9,1.032,0
bank_high_high,bank,high,high,175.206.83.107,2.4,0
bank_high_high,bank,high,high,207.154.215.181,0.972,0
bank_high_high,bank,high,high,189.178.62.151,0.949,0
bank_high_high,bank,high,high,218.255.103.194,2.532,3
bank_high_high,bank,high,high,198.74.58.166,0.21,0
bank_high_high,bank,high,high,201.16.147.253,2.378,3
bank_high_high,bank,high,high,91.203.177.71,1.123,0
bank_high_high,bank,high,high,184.180.21.25,1.241,1
bank_high_high,bank,high,high,64.227.137.31,3.076,3
bank_high_high,bank,high,high,51.195.255.251,1.072,3
bank_high_high,bank,high,high,191.23.120.226,1.253,0
bank_high_high,bank,high,high,152.228.134.44,0.884,0
bank_high_high,bank,high,high,101.89.169.61,147.962,3
bank_high_high,bank,high,high,157.245.60.247,2.846,3
bank_high_high,bank,high,high,161.49.89.39,1.992,0
bank_high_high,bank,high,high,27.128.229.223,2.89,0
bank_high_high,bank,high,high,216.122.167.17,1.913,0
bank_high_high,bank,high,high,154.92.23.236,0.361,0
bank_high_high,bank,high,high,124.137.205.56,2.355,3
bank_high_high,bank,high,high,47.206.67.127,0.442,0
bank_high_high,bank,high,high,165.22.108.91,2.286,0
bank_high_high,bank,high,high,93.114.194.136,1.497,3
bank_high_high,bank,high,high,103.162.20.168,99.864,0
bank_high_high,bank,high,high,139.59.4.122,2.914,3
bank_high_high,bank,high,high,94.206.41.18,2.435,0
bank_high_high,bank,high,high,189.39.187.190,3.167,0
bank_high_high,bank,high,high,1.31.80.222,4.186,0
bank_high_high,bank,high,high,121.165.8.169,6.205,0
bank_high_high,bank,high,high,117.50.184.148,2.702,3
bank_high_high,bank,high,high,31.15.16.144,0.823,0
bank_high_high,bank,high,high,45.55.39.59,1.521,3
bank_high_high,bank,high,high,65.76.26.86,2.419,0
bank_high_high,bank,high,high,83.40.69.137,1.624,2
bank_high_high,bank,high,high,195.19.97.203,1.409,3
bank_high_high,bank,high,high,103.181.142.31,3.899,3
bank_high_high,bank,high,high,219.76.135.121,4.956,0
bank_high_high,bank,high,high,122.117.188.220,3.353,0
bank_high_high,bank,high,high,220.132.170.64,3.066,0
bank_high_high,bank,high,high,38.54.100.110,3.61,0
bank_high_high,bank,high,high,176.161.166.113,3.125,0
bank_high_high,bank,high,high,1.55.33.86,2.832,3
bank_high_high,bank,high,high,180.7.156.169,10.968,0
bank_high_high,bank,high,high,122.187.230.34,6.233,0
bank_high_high,bank,high,high,194.169.175.107,10.031,0
bank_high_high,bank,high,high,203.198.116.145,1.825,0
bank_high_high,bank,high,high,92.255.85.189,3.543,0
bank_high_high,bank,high,high,195.178.110.34,5.896,1
bank_high_high,bank,high,high,140.246.228.50,81.663,0
bank_high_high,bank,high,high,165.232.180.105,3.265,3
bank_high_high,bank,high,high,151.80.61.151,1.121,3
bank_high_high,bank,high,high,68.178.160.133,2.733,3
bank_high_high,bank,high,high,101.36.231.233,2.635,3
bank_high_high,bank,high,high,128.199.5.115,0.614,0
bank_high_high,bank,high,high,23.94.179.104,2.369,0
bank_high_high,bank,high,high,76.136.164.157,2.122,0
bank_high_high,bank,high,high,172.210.64.72,0.402,3
bank_high_high,bank,high,high,46.101.72.94,0.738,0
bank_high_high,bank,high,high,174.138.56.152,1.65,0
bank_high_high,bank,high,high,83.249.97.66,0.999,0
bank_high_high,bank,high,high,103.69.84.149,101.721,0
bank_high_high,bank,high,high,66.65.8.125,3.066,0
bank_high_high,bank,high,high,146.190.119.107,1.008,3
bank_high_high,bank,high,high,36.110.161.134,5.037,0
bank_high_high,bank,high,high,191.36.149.57,18.632,0
bank_high_high,bank,high,high,218.10.27.190,6.88,0
bank_high_high,bank,high,high,109.126.34.84,3.627,0
bank_high_high,bank,high,high,138.68.58.124,1.085,3
bank_high_high,bank,high,high,117.222.117.205,3.397,0
bank_high_high,bank,high,high,220.246.42.79,4.931,0
bank_high_high,bank,high,high,31.131.26.207,0.787,0
bank_high_high,bank,high,high,45.40.138.101,0.882,0
bank_high_high,bank,high,high,115.41.206.174,4.555,4
bank_high_high,bank,high,high,41.83.140.157,1.16,0
bank_high_high,bank,high,high,124.198.59.254,2.363,3
bank_high_high,bank,high,high,62.99.74.174,0.723,0
bank_high_high,bank,high,high,51.158.120.121,1.154,3
bank_high_high,bank,high,high,110.4.0.180,4.918,0
bank_high_high,bank,high,high,94.156.167.17,0.758,0
bank_high_high,bank,high,high,179.42.124.80,3.443,0
bank_high_high,bank,high,high,38.87.62.101,3.548,0
bank_high_high,bank,high,high,174.160.85.233,1.864,0
bank_high_high,bank,high,high,82.65.192.254,1.619,0
bank_high_high,bank,high,high,181.188.137.78,6.94,0
bank_high_high,bank,high,high,61.1.186.121,3.754,0
bank_high_high,bank,high,high,218.149.159.138,5.366,0
bank_high_high,bank,high,high,182.75.227.178,5.638,0
bank_high_high,bank,high,high,77.91.78.195,1.018,0
bank_high_high,bank,high,high,88.248.250.143,4.303,0
bank_high_high,bank,high,high,36.137.38.119,6.712,0
bank_high_high,bank,high,high,103.124.190.196,12.539,0
bank_high_high,bank,high,high,90.0.99.32,1.782,0
bank_high_high,bank,high,high,121.202.199.147,4.278,0
bank_high_high,bank,high,high,34.92.18.156,2.371,3
bank_high_high,bank,high,high,208.109.188.104,1.065,3
bank_high_high,bank,high,high,81.225.205.153,1.19,0
bank_high_high,bank,high,high,220.81.45.66,5.491,0
bank_high_high,bank,high,high,61.221.30.246,3.408,0
bank_high_high,bank,high,high,180.76.164.132,2.646,3
bank_high_high,bank,high,high,92.222.171.6,1.337,0
bank_high_high,bank,high,high,36.134.78.151,6.699,0
bank_high_high,bank,high,high,65.20.194.197,2.591,0
bank_high_high,bank,high,high,211.247.127.251,3.771,0
bank_high_high,bank,high,high,103.124.220.50,11.529,0
bank_high_high,bank,high,high,148.113.195.131,0.552,3
bank_high_high,bank,high,high,164.92.68.31,1.147,1
bank_high_high,bank,high,high,151.177.76.179,1.677,0
bank_high_high,bank,high,high,101.230.251.217,3.651,0
bank_high_high,bank,high,high,20.127.224.153,0.401,3
bank_high_high,bank,high,high,125.213.128.169,2.862,3
bank_high_high,bank,high,high,103.10.44.105,2.141,0
bank_high_high,bank,high,high,43.241.132.10,2.148,0
bank_high_high,bank,high,high,197.90.195.68,23.714,0
bank_high_high,bank,high,high,65.20.168.20,3.362,0
bank_high_high,bank,high,high,222.92.48.226,3.467,0
bank_high_high,bank,high,high,83.252.116.100,1.9,0
bank_high_high,bank,high,high,162.240.69.202,1.689,3
bank_high_high,bank,high,high,45.206.58.193,2.302,3
bank_high_high,bank,high,high,111.70.49.107,4.395,0
bank_high_high,bank,high,high,4.186.56.155,2.179,3
bank_high_high,bank,high,high,78.73.165.213,1.685,0
bank_high_high,bank,high,high,129.2.19.33,5.365,6
bank_high_high,bank,high,high,64.227.77.194,0.887,0
bank_high_high,bank,high,high,175.205.191.27,2.895,1
bank_high_high,bank,high,high,167.99.67.30,3.307,1
bank_high_high,bank,high,high,45.11.94.224,1.087,0
bank_high_high,bank,high,high,45.133.251.74,2.201,0
bank_high_high,bank,high,high,161.35.91.71,1.315,1
bank_high_high,bank,high,high,61.36.204.86,18.872,0
bank_high_high,bank,high,high,118.36.15.126,4.526,0
bank_high_high,bank,high,high,167.172.184.35,19.999,0
bank_high_high,bank,high,high,65.49.1.113,4.0,0
bank_high_high,bank,high,high,115.53.204.137,19.304,0
bank_high_high,bank,high,high,118.220.31.109,25.003,0
bank_high_high,bank,high,high,120.79.36.69,107.896,0
bank_high_high,bank,high,high,221.145.231.206,1.605,0
bank_high_high,bank,high,high,188.59.178.35,70.223,0
bank_high_high,bank,high,high,103.68.22.140,63.618,0
bank_high_high,bank,high,high,164.92.94.250,1.273,1
bank_high_high,bank,high,high,80.64.30.139,3.731,0
bank_high_high,bank,high,high,118.44.181.49,66.163,0
bank_high_high,bank,high,high,223.82.92.114,5.624,0
